Song,Artist,Weeks On Chart,Peak Rank
264,How Many Times,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",15,68
265,Fun,Pitbull Featuring Chris Brown,15,40
266,Photograph,J. Cole,30,10
267,Beautiful Life,Nick Fradiani,0,93
268,A Thousand Years,Sawyer Fredericks,0,94
269,Kick The Dust Up,Luke Bryan,20,26
270,Please,Sawyer Fredericks,0,37
271,Old Man,Sawyer Fredericks,0,63
272,Flashlight,Jessie J,7,61
273,Beautiful Now,Zedd Featuring Jon Bellion,14,64
274,Change My Mind,Meghan Linsey,0,92
275,The Hills,The Weeknd,48,1
276,L$D,A$AP Rocky,3,62
277,Electric Body,A$AP Rocky Featuring ScHoolboy Q,2,80
278,Stitches,Shawn Mendes,52,4
279,Loving You Easy,Zac Brown Band,17,40
280,Young & Crazy,Frankie Ballard,15,55
281,Buy Me A Boat,Chris Janson,20,41
282,You Changed Me,Jamie Foxx Featuring Chris Brown,2,93
283,Kiss You In The Morning,Michael Ray,14,55
284,Planez,Jeremih Featuring J. Cole,20,44
285,Phenomenal,Eminem,0,47
286,"Ulay, Oh",How I Became The Bomb,0,58
287,House Party,Sam Hunt,20,26
288,Everyday,Logic & Marshmello,13,29
289,Hood Go Crazy,Tech N9Ne Featuring 2 Chainz & B.o.B,7,90
290,Hell Of A Night,Dustin Lynch,16,55
291,Can't Feel My Face,The Weeknd,41,1
292,3500,Travi$ Scott Featuring Future & 2 Chainz,0,82
293,"John Cougar, John Deere, John 3:16",Keith Urban,20,40
294,Back It Up,Prince Royce Featuring Jennifer Lopez & Pitbull,2,92
295,This Could Be Us,Rae Sremmurd,20,49
296,Lose My Mind,Brett Eldredge,20,48
297,Ghost Town,Kanye West Featuring PARTYNEXTDOOR,17,16
298,B**** I'm Madonna,Madonna Featuring Nicki Minaj,2,84
299,Marvin Gaye,Charlie Puth Featuring Meghan Trainor,20,21
300,Sparks,Hilary Duff,0,93
301,Good Thing,Sage The Gemini Featuring Nick Jonas,8,75
302,Good For You,Selena Gomez Featuring A$AP Rocky,26,5
303,No Sleeep,Janet Featuring J. Cole,2,63
304,"I Don't Like It, I Love It",Flo Rida Featuring Robin Thicke & Verdine White,14,43
305,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,20,21
306,Yoga,Janelle Monae & Jidenna,6,79
307,Real Life,The Weeknd,13,62
308,Like I Can,Sam Smith,2,99
309,Check,Young Thug,0,100
310,679,Fetty Wap Featuring Remy Boyz,40,4
311,Cool For The Summer,Demi Lovato,20,11
312,R.I.C.O.,Meek Mill Featuring Drake,13,40
313,Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,14,84
314,Do It Again,Pia Mia Featuring Chris Brown & Tyga,11,71
315,Bad For You,Meek Mill Featuring Nicki Minaj,2,78
316,My Way,Fetty Wap Featuring Monty,22,7
317,Brother,NEEDTOBREATHE Featuring Gavin DeGraw,2,98
318,Love Is Your Name,Steven Tyler,0,75
319,Lord Knows,Meek Mill,2,88
320,Jump Out The Face,Meek Mill Featuring Future,2,91
321,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,39,8
322,Ex's & Oh's,Elle King,38,10
323,Break Up With Him,Old Dominion,20,44
324,Kings Never Die,Eminem Featuring Gwen Stefani,2,80
325,Should've Been Us,Tori Kelly,10,51
326,Fly,Maddie & Tae,14,61
327,Burning House,Emily Ann Roberts,25,29
328,She's Kinda Hot,5 Seconds Of Summer,9,22
329,How Deep Is Your Love,Calvin Harris & Disciples,20,27
330,Where Ya At,Future Featuring Drake,25,28
331,Strip It Down,Luke Bryan,20,30
332,Locked Away,R. City Featuring Adam Levine,27,6
333,Blow A Bag,Future,0,95
334,Anything Goes,Florida Georgia Line,18,55
335,Save It For A Rainy Day,Kenny Chesney,17,54
336,Dance Like We're Making Love,Ciara,0,100
337,Fire N Gold,Bea Miller,0,78
338,Cheyenne,Jason Derulo,7,66
339,Drag Me Down,One Direction,20,3
340,Back To Back,Drake,20,21
341,Rotten To The Core,"Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson",6,38
342,Omen,Disclosure Featuring Sam Smith,6,64
343,Hotline Bling,Drake,36,2
344,Charged Up,Drake,0,78
345,100,The Game Featuring Drake,10,82
346,Comfortable,K Camp,15,54
347,Let Me See Ya Girl,Cole Swindell,18,59
348,Here,Alessia Cara,34,5
349,If Only,Dove Cameron,2,94
350,Again,Fetty Wap,26,33
351,High By The Beach,Lana Del Rey,3,51
352,Love Myself,Hailee Steinfeld,16,30
353,Nothin' Like You,Dan + Shay,19,51
354,Gonna Wanna Tonight,Chase Rice,12,67
355,Black Magic,Little Mix,8,67
356,100 Grandkids,Mac Miller,0,100
357,Straight Outta Compton,N.W.A,2,38
358,Hit The Quan,iLoveMemphis,20,15
359,Boyz-N-The Hood,Eazy-E,2,50
360,The Fix,Nelly Featuring Jeremih,20,62
361,Fly Away,5 Seconds Of Summer,0,100
362,Smoke Break,Carrie Underwood,19,43
363,Levels,Nick Jonas,12,44
364,No Role Modelz,J. Cole,25,36
365,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",20,12
366,Liquor,Chris Brown,17,60
367,About You,Trey Songz,3,83
368,Cecilia And The Satellite,Andrew McMahon In The Wilderness,3,96
369,I'm To Blame,Kip Moore,0,100
370,What Do You Mean?,Justin Bieber,31,1
371,Wildest Dreams,Taylor Swift,27,5
372,Prisoner,The Weeknd Featuring Lana Del Rey,3,47
373,Tell Your Friends,The Weeknd,3,54
374,Acquainted,The Weeknd,18,60
375,Roots,Imagine Dragons,0,77
376,Shameless,The Weeknd,2,79
377,Losers,The Weeknd Featuring Labrinth,0,85
378,Dark Times,The Weeknd Featuring Ed Sheeran,3,91
379,Jet Black Heart,5 Seconds Of Summer,0,95
380,New Americana,Halsey,17,60
381,In The Night,The Weeknd,20,12
382,Antidote,Travis Scott,26,16
383,Burn Slow,Wiz Khalifa Featuring Rae Sremmurd,0,83
384,White Iverson,Post Malone,30,14
385,Ginza,J Balvin,15,84
386,Same Old Love,Selena Gomez,28,5
387,Right Hand,Drake,19,58
388,Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd,18,63
389,Gonna,Blake Shelton,18,54
390,Nothing But Trouble (Instagram Models),Lil Wayne & Charlie Puth,7,86
391,Hold My Hand,Jess Glynne,6,86
392,Firestone,Kygo Featuring Conrad,0,92
393,Hide Away,Daya,27,23
394,Come Get Her,Rae Sremmurd,19,56
395,On My Mind,Ellie Goulding,22,13
396,Jumpman,Drake & Future,32,12
397,RGF Island,Fetty Wap,14,57
398,Diamonds Dancing,Drake & Future,8,53
399,$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,19,71
400,Big Rings,Drake & Future,20,52
401,Digital Dash,Drake & Future,7,62
402,Confident,Demi Lovato,20,21
403,Live From The Gutter,Drake & Future,5,74
404,Scholarships,Drake & Future,7,69
405,30 For 30 Freestyle,Drake,2,88
406,I'm The Plug,Drake & Future,5,76
407,Runnin' (Lose It All),Naughty Boy Featuring Beyonce & Arrow Benjamin,0,90
408,Die A Happy Man,Thomas Rhett,30,21
