title,ratingDescription average,release year average,user rating score average,user rating size average
Madam Secretary,90.0,2016.0,70.0,80.0
Magic Mike,100.0,2012.0,77.0,80.0
Marvel Super Hero Adventures: Frost Fight!,60.0,2015.0,,82.0
Marvel's Agents of S.H.I.E.L.D.,70.0,2016.0,89.0,80.0
Marvel's Hulk: Where Monsters Dwell,60.0,2016.0,,82.0
Marvel's Iron Fist,110.0,2017.0,98.0,80.0
Marvel's Jessica Jones,110.0,2015.0,83.0,80.0
Marvel's Luke Cage,110.0,2016.0,95.0,80.0
Masha and the Bear,10.0,2013.0,81.0,80.0
Master of None,110.0,2015.0,,82.0
Max Steel,42.0,2014.0,,82.0
Mean Girls 2,80.0,2011.0,,82.0
Meet the Blacks,100.0,2016.0,79.0,80.0
MerlÌ?,70.0,2015.0,,82.0
Mia and Me,10.0,2015.0,,82.0
Mickey's Twice Upon a Christmas,35.0,2004.0,,82.0
Mighty Morphin Power Rangers,42.0,2010.0,73.0,80.0
Minimalism: A Documentary About the Important Things,70.0,2016.0,,82.0
Minions,60.0,2015.0,96.0,80.0
Missione Hamburger,60.0,1997.0,75.0,80.0
Monster Math Squad,35.0,2012.0,,82.0
Mother Goose Club,10.0,2016.0,,82.0
Mr. Magoo,60.0,1997.0,,82.0
Mulan 2,35.0,2004.0,85.0,80.0
My Animal Friends,10.0,2013.0,,82.0
NCIS,90.0,2016.0,97.0,80.0
Nancy Drew,60.0,2007.0,,82.0
Narcos,110.0,2016.0,94.0,80.0
Naruto,70.0,2008.0,88.0,80.0
New Girl,90.0,2016.0,91.0,80.0
Nexo Knights,42.0,2015.0,,82.0
Ninja Turtles: The Next Mutation,42.0,1997.0,,82.0
No Tomorrow,90.0,2016.0,,82.0
November Rule,90.0,2015.0,,82.0
Nurse Jackie,110.0,2015.0,82.0,80.0
Nymphomaniac: Volume 1,124.0,2013.0,,82.0
O Amor no DivÌ£,110.0,2016.0,,82.0
Octonauts,10.0,2015.0,,82.0
Once Upon a Time,70.0,2016.0,98.0,80.0
One Day at a Time,70.0,2017.0,,82.0
One Tree Hill,90.0,2011.0,90.0,80.0
Only for One Night,110.0,2016.0,78.0,80.0
Open Season: Scared Silly,60.0,2015.0,72.0,80.0
OperaÌ¤Ìµes Especiais,110.0,2015.0,,82.0
Orange Is the New Black,110.0,2016.0,98.0,80.0
Oscar's Oasis,35.0,2011.0,,82.0
Pac-Man and the Ghostly Adventures,41.0,2014.0,,82.0
Paddington,60.0,2014.0,70.0,80.0
Pandora,110.0,2016.0,,82.0
Parenthood,90.0,2014.0,79.0,80.0
Parks and Recreation,90.0,2015.0,94.0,80.0
Paulie,60.0,1998.0,,82.0
Person of Interest,90.0,2016.0,93.0,80.0
Pet Pals in Windland,35.0,2014.0,,82.0
Pete's Dragon,60.0,2016.0,93.0,80.0
Phineas and Ferb,35.0,2012.0,89.0,80.0
Pocahontas II: Journey to a New World,35.0,1998.0,64.0,80.0
Pocoyo,10.0,2007.0,67.0,80.0
PokÌ©mon: Indigo League,10.0,2000.0,74.0,80.0
PokÌ©mon: XY,42.0,2015.0,56.0,80.0
Pooh's Grand Adventure: The Search for Christopher Robin,35.0,1997.0,,82.0
Pooh's Heffalump Movie,35.0,2005.0,,82.0
PopPixie,35.0,2011.0,,82.0
Portlandia,90.0,2016.0,62.0,80.0
Pound Puppies,10.0,2013.0,,82.0
Power Rangers Dino Charge,41.0,2015.0,,82.0
Power Rangers Dino Super Charge,41.0,2016.0,,82.0
Power Rangers Super Megaforce,41.0,2014.0,,82.0
Power Rangers Zeo,42.0,1996.0,,82.0
Precious Puppies,35.0,2003.0,,82.0
Pretty Little Liars,90.0,2016.0,96.0,80.0
Prison Break,90.0,2008.0,98.0,80.0
Private Practice,90.0,2012.0,88.0,80.0
Puffin Rock,10.0,2016.0,,82.0
Pup Star,35.0,2016.0,,82.0
Quackerz,60.0,2016.0,,82.0
Quantico,90.0,2016.0,88.0,80.0
Queen of Katwe,60.0,2016.0,,81.0
Raising Hope,90.0,2013.0,73.0,80.0
Ratchet and Clank,60.0,2016.0,74.0,80.0
Recess: Taking the Fifth Grade,35.0,2003.0,,82.0
Rectify,90.0,2016.0,,82.0
Reign,90.0,2015.0,79.0,80.0
Revenge,70.0,2015.0,84.0,80.0
Ribbit,60.0,2014.0,,82.0
Ripper Street,110.0,2016.0,,82.0
Robocar Poli,10.0,2012.0,,82.0
Rooster Doodle-doo,35.0,2014.0,,82.0
Rosewood,90.0,2015.0,81.0,80.0
Russell Madness,60.0,2015.0,,82.0
Safe Haven,80.0,2013.0,62.0,80.0
Salvador Martinha - Tip of the Tongue,110.0,2016.0,,82.0
Sammy 2,70.0,2012.0,,82.0
Sand Castle,110.0,2017.0,89.0,80.0
Sandy Wexler,90.0,2017.0,92.0,80.0
Santa Clarita Diet,110.0,2017.0,82.0,80.0
Sausage Party,100.0,2016.0,91.0,80.0
Scandal,90.0,2016.0,92.0,80.0
Schitt's Creek,90.0,2016.0,74.0,80.0
Scooby-Doo,60.0,2002.0,86.0,80.0
Scooby-Doo 2: Monsters Unleashed,60.0,2004.0,82.0,80.0
Scream,90.0,2016.0,,82.0
Secret of the Wings,35.0,2012.0,65.0,80.0
